"id","GeotabId","ActiveFrom","ActiveTo","BaseType","Comment","Name","Version","EntityStatus","RecordLastChangedUtc"
"89","aotY7_215q0CYIJkBrvZJ3A","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Regulex Piedade Center","4200",1,"2024-04-10 20:02:52.558081"
"90","aFxzVEiFkREayBOhusRx3mA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - DSP2 - Amazon","5022",1,"2024-04-10 20:02:52.559001"
"91","aKm3ZCwWs80i4_1BxhwXiaA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - CD Magalu PI","5063",1,"2024-04-10 20:02:52.56083"
"92","aGOfUW8aWKUKihw9DuGuDIQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","Conjunto Hab Barro Branco","508",1,"2024-04-10 20:02:52.561671"
"93","aPHN8CQF82UCm7J3b8Rg3XA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Tnt Martelinho De Ouro","4492",1,"2024-04-10 20:02:52.56256"
"94","aXDMew_YkGUukAJ0T6YMKkg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Mca Marquinhos Center","4892",1,"2024-04-10 20:02:52.563483"
"95","afcQCEE4XdkqJwJRyHL3mAg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SPR4 - Pato Branco","188",1,"2024-04-10 20:02:52.564305"
"96","arpu7TGUrgkCxsYiexjXBYg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Dpaschoal Poços Caldas","4856",1,"2024-04-10 20:02:52.565127"
"97","a9SaCNJSDZkatG_MGBOiF-g","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SRJ4 - Campos dos Goytacazes","171",1,"2024-04-10 20:02:52.565996"
"98","aB2ZxY-QGOEOYX1dPdeo_1Q","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Li Centro Automotivo","4165",1,"2024-04-10 20:02:52.566833"
"99","aVNBFm6Gbi0qr0EhgAe9MBQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","Rua Arlindo Janot, 30 - Bonsucesso, Rio de Janeiro - RJ, 21041-160, Brasil","4968",1,"2024-04-10 20:02:52.567704"
"100","aJBhJoxaKGUqijqhyJrRWuA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Norte Autos Car","4244",1,"2024-04-10 20:02:52.568569"
"101","a3TDx_vM-HkaHvjhZ49P94Q","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Ams Caragua Serviços","4220",1,"2024-04-10 20:02:52.569491"
"102","aoy-e1_6L9UeNxiRh2O3neg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Auto Pecas 3 G","4300",1,"2024-04-10 20:02:52.570372"
"103","azajcLqguek6YQVeWEdAbZw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","BRSP02 - FBM Cajamar","96",1,"2024-04-10 20:02:52.571287"
"104","aVD89GRbUM0KGBi_rQLJqDQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - Shopee","5155",1,"2024-04-10 20:02:52.572223"
"105","aRWXpZxftx0Wj_T0FZLCDyQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Auto Center Jr","4946",1,"2024-04-10 20:02:52.573051"
"106","aC_HPMKXGvk6OFVE4K18HiQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Regulex","4917",1,"2024-04-10 20:02:52.57388"
"107","at542Kt--sk2bn1PPyWoSxg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - L R Centro Automotivo","4719",1,"2024-04-10 20:02:52.574745"
"108","ae-otCg2hMEuoK5N7ZW3FUw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Trans E Guincho 21","4669",1,"2024-04-10 20:02:52.575629"
"109","RuleVehicleMovementWithinZonesId","2023-02-08 13:50:37.367","2050-01-01 00:00:00","Stock","","Vehicle Movement Within Zones","93",1,"2024-04-10 20:02:52.576499"
"110","asDVIsO5kCkK7TNFHukvFMg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Lider Auto Center","4332",1,"2024-04-10 20:02:52.577416"
"111","a7jQ2bz85G0GamK2wRpT31Q","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Promax Super Troca","4307",1,"2024-04-10 20:02:52.578304"
"112","aLxT48wTQXEO5Ut5rq-QdnA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Gabi Car Ii","4870",1,"2024-04-10 20:02:52.579352"
"113","azj034tbkYU6l6eOIwgYqlg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Sinal Vergueiro","4663",1,"2024-04-10 20:02:52.58031"
"114","aEoEpIZER50KFSLKGJIlJNg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SPR6 - Maringá","189",1,"2024-04-10 20:02:52.581267"
"115","ae5brebtvjEWj2wCC6Ux-qw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - SVC Artur Alvim (SP) - Shopee","5070",1,"2024-04-10 20:02:52.582082"
"116","aYFImx-oWsE26pCkYuN4q3g","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Precmec Centro Automotivo","5200",1,"2024-04-10 20:02:52.58289"
"117","amEcUDQgCBE2DV2F03qUvVw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - CD5200 - Magalu","5059",1,"2024-04-10 20:02:52.58372"
"118","aaSJC82NQhUmPJ1xnvn-RRg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Transauto Transp","4863",1,"2024-04-10 20:02:52.584536"
"119","amBpefOV6bU2JVx_wHAIwMA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Rodobens","4855",1,"2024-04-10 20:02:52.585393"
"120","aHhifz0QkzU-B1v9jBHA8yg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - R15 Auto Center","4533",1,"2024-04-10 20:02:52.58624"
"121","aeoQAiv_mA06q_tn4A0WCsw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","CONCORRENTE  - DPB3 - Amazon","5081",1,"2024-04-10 20:02:52.587054"
"122","aDzO555i7yEOZtq-sbwx-Tg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Ville Renault","4580",1,"2024-04-10 20:02:52.587813"
"123","aSMUJInDCPUutLKYIQi9LnQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Mape Funilaria","4329",1,"2024-04-10 20:02:52.588554"
"124","a0h0N-g1OdEK1zvWWrSYeXg","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","Iguatemi Zona Leste Área de risco","5449",1,"2024-04-10 20:02:52.589362"
"125","aB9KfeeoCdUW1PNeU6l2aZQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Auto Van","4717",1,"2024-04-10 20:02:52.590141"
"126","amCiLbTeuPkSnDc481OZChQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Zanaso Repar E Car","4477",1,"2024-04-10 20:02:52.59098"
"127","aj0nw0xM2r0K0G9emtfnHFw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SSC5 - Criciuma","200",1,"2024-04-10 20:02:52.591762"
"128","RuleFleetIdlingId","2022-08-11 13:30:57.642","2050-01-01 00:00:00","Stock","","Idling Within Zone","299",1,"2024-04-10 20:02:52.59261"
"129","a3YZGVp6Ta0uizWUh6iH-Kw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Disape - Vila Taquari","4721",1,"2024-04-10 20:02:52.593514"
"130","aCww3ybMpuUy-igpMnD_VwA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SRJ8 - Niterói","175",1,"2024-04-10 20:02:52.59435"
"131","aXxOPk-B9sUaDhLabjajiKQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - L C Auto Center Ltda","4323",1,"2024-04-10 20:02:52.595144"
